,title,director,actor0,actor1,genre0,genre1,district,rate,rm
963,起风了,宫崎骏,庵野秀明,泷本美织,剧情,爱情,日本,7.7,1
964,再见列宁,沃尔夫冈·贝克,丹尼尔·布鲁赫,凯萨琳·萨斯,剧情,家庭,德国,8.7,1
965,隐秘而伟大,张哲洙,金秀贤,李玹雨,喜剧,动作,韩国,7.7,1
967,乌云背后的幸福线,大卫·O·拉塞尔,布莱德利·库珀,詹妮弗·劳伦斯,剧情,喜剧,美国,7.7,1
968,孤胆特工,李桢凡,元斌,金赛纶,剧情,动作,韩国,8.0,1
969,精英部队2：大敌当前,若泽·帕迪里亚,瓦格纳·马拉,安德烈·拉米罗,剧情,动作,巴西,8.7,1
974,冰川时代3,卡洛斯·沙尔丹哈 ,雷·罗马诺,约翰·雷吉扎莫,喜剧,动画,美国,8.3,1
975,激战,林超贤,张家辉,彭于晏,剧情,动作,香港,7.8,1
976,热血警探,埃德加·赖特,西蒙·佩吉,尼克·弗罗斯特,喜剧,动作,美国,8.3,1
978,独自等待,伍仕贤,夏雨,李冰冰,剧情,喜剧,中国大陆,8.0,1
979,爱,迈克尔·哈内克,让·路易·特兰蒂尼昂,埃玛妞·丽娃,剧情,爱情,法国,8.5,1
980,钢铁侠3,沙恩·布莱克,小罗伯特·唐尼,盖·皮尔斯,动作,科幻,美国,7.5,1
981,李米的猜想,曹保平,周迅,邓超,剧情,爱情,中国大陆,7.7,1
984,卧虎藏龙,李安,周润发,杨紫琼,剧情,动作,台湾,7.7,1
985,月升王国,韦斯·安德森,杰瑞德·吉尔曼,卡拉·海沃德,剧情,爱情,美国,8.2,1
987,哈利·波特与火焰杯,迈克·内威尔,丹尼尔·雷德克里夫,艾玛·沃森,奇幻,冒险,英国,7.9,1
988,内布拉斯加,亚历山大·佩恩,布鲁斯·邓恩,威尔·福特,剧情,家庭,美国,8.6,1
989,麦兜当当伴我心,谢立文,黄秋生,吴君如,喜剧,动画,中国大陆,8.4,1
991,你丫闭嘴！,法兰西斯·威柏,杰拉尔·德帕迪约,让·雷诺,喜剧,犯罪,法国,8.0,1
992,狙击电话亭,乔·舒马赫,科林·法瑞尔,基弗·萨瑟兰,悬疑,惊悚,美国,7.9,1
993,赎罪,乔·赖特,詹姆斯·麦卡沃伊,西尔莎·罗南,剧情,爱情,英国,8.0,1
994,单身男子,汤姆·福特,科林·费尔斯,朱丽安·摩尔,剧情,同性,美国,8.4,1
997,和声,康大奎,金允珍,罗文姬,剧情,UNK,韩国,8.6,1
999,人在囧途,叶伟民,徐峥,王宝强,喜剧,UNK,中国大陆,7.4,1
1000,蓝色茉莉,伍迪·艾伦,凯特·布兰切特,莎莉·霍金斯,剧情,家庭,美国,7.8,1
1001,冰川时代2：融冰之灾,卡洛斯·沙尔丹哈,雷·罗马诺,约翰·雷吉扎莫,喜剧,动画,美国,8.0,1
1002,史密斯夫妇,道格·里曼,布拉德·皮特,安吉丽娜·朱莉,喜剧,动作,美国,7.5,1
1004,追风筝的人,马克·福斯特,赫立德·阿卜杜拉,阿托莎·利奥妮,剧情,UNK,美国,8.2,1
1005,西游降魔篇,周星驰 ,文章,舒淇,喜剧,奇幻,中国大陆,7.1,1
1007,南极料理人,冲田修一,堺雅人,生濑胜久,喜剧,UNK,日本,8.1,1
1008,非常主播,姜炯哲,车太贤,朴宝英,剧情,喜剧,韩国,7.9,1
1010,老无所依,伊桑·科恩 ,汤米·李·琼斯,哈维尔·巴登,剧情,惊悚,美国,7.9,1
1012,魔术师,西维亚·乔迈,Jean-Claude Donda,Eilidh Rankin,剧情,动画,法国,8.7,1
1013,我脑中的橡皮擦,李宰汉,郑雨盛,孙艺珍,剧情,爱情,韩国,7.8,1
1015,无人知晓,是枝裕和,柳乐优弥,北浦爱,剧情,UNK,日本,8.9,1
1019,艺术家,迈克尔·哈扎纳维希乌斯,让·杜雅尔丹,贝热尼丝·贝乔,剧情,喜剧,法国,8.4,1
1020,买凶拍人,彭浩翔,葛民辉,张达明,喜剧,动作,香港,8.3,1
1021,盲山,李杨,黄璐,杨幼安,剧情,UNK,中国大陆,8.1,1
1022,凯尔经的秘密,汤姆·摩尔 ,伊万·麦克奎尔,布莱丹·格里森,剧情,动画,爱尔兰,8.4,1
1023,宿醉,托德·菲利普斯,布莱德利·库珀,艾德·赫尔姆斯,喜剧,UNK,美国,7.7,1
1026,不能说的秘密,周杰伦,周杰伦,桂纶镁,剧情,爱情,香港,7.4,1
1027,风雨哈佛路,Peter Levin,索拉·伯奇,Makyla Smith,剧情,传记,美国,8.2,1
1029,哈利·波特与死亡圣器(上),大卫·叶茨,丹尼尔·雷德克里夫,艾玛·沃森,剧情,奇幻,英国,7.8,1
1030,无间道3：终极无间,刘伟强 ,梁朝伟,刘德华,剧情,动作,中国大陆,7.7,1
1031,时间旅行者的妻子,罗伯特·斯文克,瑞秋·麦克亚当斯,艾瑞克·巴纳,剧情,爱情,美国,7.7,1
1032,我，机器人,亚历克斯·普罗亚斯,威尔·史密斯,布丽姬·穆娜,动作,科幻,美国,7.9,1
1033,共同警备区,朴赞郁,李英爱,宋康昊,剧情,惊悚,韩国,8.5,1
1035,杀手没有假期,马丁·麦克唐纳,科林·法瑞尔,布莱丹·格里森,剧情,喜剧,英国,8.1,1
1036,春娇与志明,彭浩翔,杨千嬅,余文乐,剧情,喜剧,香港,7.4,1
1038,结婚礼服,权炯辰,宋允儿,金香奇,剧情,家庭,韩国,8.5,1
1039,汉尼拔,雷德利·斯科特,安东尼·霍普金斯,朱丽安·摩尔,惊悚,犯罪,英国,8.1,1
1041,金色梦乡,中村义洋,堺雅人,竹内结子,剧情,悬疑,日本,8.6,1
1042,黑洞频率,格里高利·霍布里特,丹尼斯·奎德,吉姆·卡维泽,剧情,科幻,美国,8.2,1
1043,火柴人,雷德利·斯科特,尼古拉斯·凯奇,山姆·洛克威尔,剧情,喜剧,美国,8.1,1
1045,雪国列车,奉俊昊,克里斯·埃文斯,杰米·贝尔,剧情,动作,韩国,7.2,1
1046,127小时,丹尼·博伊尔,詹姆斯·弗兰科,丽兹·卡潘,剧情,惊悚,美国,8.1,1
1047,面纱,约翰·卡兰,爱德华·诺顿,娜奥米·沃茨,剧情,爱情,美国,8.1,1
1049,沙漠之花,Sherry Horman,莉亚·科贝德,莎莉·霍金斯,剧情,UNK,英国,8.7,1
1050,天伦之旅,柯克·琼斯,罗伯特·德尼罗,凯特·贝金赛尔,剧情,家庭,美国,8.7,1
1053,银河系漫游指南,加斯·詹宁斯,山姆·洛克威尔,佐伊·丹斯切尔,喜剧,科幻,美国,8.1,1
1054,变形金刚2,迈克尔·贝,希亚·拉博夫,梅根·福克斯,动作,科幻,美国,7.6,1
1055,杀死比尔2,昆汀·塔伦蒂诺,乌玛·瑟曼,大卫·卡拉丁,动作,惊悚,美国,7.7,1
1056,空房间,金基德,在熙,李成延,剧情,爱情,韩国,8.0,1
1057,疯狂的赛车,宁浩,黄渤,戎祥,喜剧,动作,中国大陆,7.8,1
1058,最好的时光,侯孝贤,舒淇,张震,剧情,爱情,台湾,7.5,1
1059,精灵旅社,格恩迪·塔塔科夫斯基,亚当·桑德勒,安迪·萨姆伯格,喜剧,动画,美国,7.8,1
1062,午夜巴塞罗那,伍迪·艾伦,丽贝卡·豪尔,斯嘉丽·约翰逊,剧情,爱情,西班牙,7.7,1
1065,艋舺,钮承泽,赵又廷,阮经天,剧情,UNK,台湾,7.7,1
1067,寒战,梁乐民 ,郭富城,梁家辉,剧情,动作,香港,7.4,1
1068,河童之夏,原惠一,富泽风斗,横川貴大,剧情,动画,日本,8.7,1
1069,偶滴神啊,Umesh Shukla,阿克谢·库玛尔,帕莱什·拉瓦尔,剧情,喜剧,印度,8.3,1
1073,布达佩斯大饭店,韦斯·安德森,拉尔夫·费因斯,托尼·雷沃罗利,剧情,喜剧,美国,8.7,1
1074,亲爱的,陈可辛,赵薇,黄渤,剧情,家庭,中国大陆,8.4,1
1075,冰雪奇缘,克里斯·巴克 ,克里斯汀·贝尔,伊迪娜·门泽尔,喜剧,动画,美国,8.3,1
1076,明日边缘,道格·里曼,汤姆·克鲁斯,艾米莉·布朗特,动作,科幻,美国,8.1,1
1077,彗星来的那一夜,詹姆斯·沃德·布柯特,艾米丽·芭尔多尼,莫瑞·史特林,科幻,悬疑,美国,8.3,1
1078,无人区,宁浩,徐峥,黄渤,剧情,犯罪,中国大陆,8.1,1
1079,她,斯派克·琼斯,杰昆·菲尼克斯,斯嘉丽·约翰逊,剧情,爱情,美国,8.3,1
1080,X战警：逆转未来,布莱恩·辛格,詹姆斯·麦卡沃伊,迈克尔·法斯宾德,动作,科幻,美国,8.2,1
1081,辩护人,杨宇硕,宋康昊,吴达洙,剧情,UNK,韩国,9.1,1
1082,少年时代,理查德·林克莱特,埃拉·科尔特兰,帕特丽夏·阿奎特,剧情,家庭,美国,8.5,1
1083,素媛,李濬益,薛景求,严志媛,剧情,家庭,韩国,9.0,1
1084,夜行者,丹·吉尔罗伊,杰克·吉伦哈尔,里兹·阿迈德,惊悚,犯罪,美国,8.2,1
1085,霍比特人2：史矛革之战,彼得·杰克逊,伊恩·麦克莱恩,马丁·弗瑞曼,动作,奇幻,美国,8.1,1
1086,白日梦想家,本·斯蒂勒,本·斯蒂勒,克里斯汀·韦格,剧情,喜剧,美国,8.2,1
1087,奇怪的她,黄东赫,沈恩京,罗文姬,喜剧,奇幻,韩国,8.3,1
1088,哪啊哪啊神去村,矢口史靖,染谷将太,长泽雅美,剧情,喜剧,日本,8.5,1
1089,少年斯派维的奇异旅行,让-皮埃尔·热内,凯尔·凯特莱特,海伦娜·伯翰·卡特,剧情,家庭,法国,8.5,1
1090,菲利普船长,保罗·格林格拉斯,汤姆·汉克斯,巴克德·阿巴蒂,剧情,传记,美国,8.1,1
1091,极速风流,朗·霍华德,克里斯·海姆斯沃斯,丹尼尔·布鲁赫,剧情,传记,英国,8.8,1
1092,如父如子,是枝裕和,福山雅治,尾野真千子,剧情,家庭,日本,8.3,1
1094,暴力街区,皮埃尔·莫瑞尔,塞瑞尔·拉菲利,大卫·贝利,动作,犯罪,法国,8.0,1
1095,赛末点,伍迪·艾伦,乔纳森·莱斯·梅耶斯,斯嘉丽·约翰逊,剧情,爱情,英国,8.0,1
1097,平常的心,瑞恩·墨菲,马克·鲁弗洛,马特·波莫,剧情,爱情,美国,8.3,1
1098,附注：我爱你,理查德·拉·格拉文斯,希拉里·斯万克,杰拉德·巴特勒,剧情,爱情,美国,8.1,1
1099,妈咪,泽维尔·多兰,安妮·杜尔瓦勒,安托万-奥利弗·波尼安,剧情,家庭,加拿大,8.1,1
1101,普罗旺斯的夏天,罗丝·博斯,让·雷诺,安娜·加列娜,剧情,UNK,法国,8.2,1
1103,转山,杜家毅,张书豪,李晓川,剧情,冒险,中国大陆,8.0,1
1104,七磅,加布里尔·穆奇诺,威尔·史密斯,罗莎里奥·道森,剧情,UNK,美国,8.1,1
1105,点球成金,贝尼特·米勒,布拉德·皮特,乔纳·希尔,剧情,传记,美国,8.1,1
1107,谜一样的双眼,胡安·何塞·坎帕内利亚,里卡杜·达林,索蕾达·维拉米尔,剧情,爱情,阿根廷,8.3,1
1108,海鸥食堂,荻上直子,小林聪美,片桐入,剧情,喜剧,日本,8.3,1
1109,回家的路,方银振,全度妍,高修,剧情,家庭,韩国,8.5,1
1111,未知死亡,A.R. Murugadoss,阿米尔·汗,缇努·阿南德,剧情,动作,印度,8.0,1
1113,星球大战前传3：西斯的复仇,乔治·卢卡斯,海登·克里斯滕森,娜塔莉·波特曼,动作,科幻,美国,8.1,1
1117,大地惊雷,乔尔·科恩 ,杰夫·布里吉斯,马特·达蒙,剧情,西部,美国,8.0,1
1118,母亲,奉俊昊,金惠子,元斌,剧情,UNK,韩国,8.3,1
1119,芝加哥,罗伯·马歇尔,蕾妮·齐薇格,凯瑟琳·泽塔-琼斯,喜剧,歌舞,美国,8.4,1
1120,给桃子的信,冲浦启之,美山加恋,优香,剧情,动画,日本,8.0,1
1123,天水围的日与夜,许鞍华,鲍起静,陈丽云,剧情,UNK,香港,8.5,1
1124,花魁,蜷川实花,土屋安娜,木村佳乃,剧情,历史,日本,8.0,1
1125,我杀了我妈妈,泽维尔·多兰,泽维尔·多兰,安妮·杜尔瓦勒,剧情,家庭,加拿大,8.3,1
1129,启示,梅尔·吉布森,鲁迪·杨布拉德,Dalia Hernández,剧情,动作,美国,8.4,1
1130,太极旗飘扬,姜帝圭,张东健,元斌,剧情,动作,韩国,8.3,1
1131,穿裘皮的维纳斯,罗曼·波兰斯基,艾玛纽尔·塞尼耶,马修·阿马立克,剧情,情色,法国,8.0,1
1134,杀戮,罗曼·波兰斯基,朱迪·福斯特,凯特·温丝莱特,剧情,喜剧,法国,8.2,1
1137,天国王朝,雷德利·斯科特,奥兰多·布鲁姆,伊娃·格林,动作,历史,美国,8.1,1
1138,金氏漂流记,李海准,郑在咏,郑丽媛,剧情,爱情,韩国,8.3,1
1140,如月疑云,佐藤祐市,小栗旬,中山裕介,喜剧,悬疑,日本,8.1,1
1143,有梦就去闯,Brad Isaacs,凯登·博伊德,安娜索菲亚·罗伯,剧情,爱情,美国,8.3,1
1144,和谐课程,埃米尔·拜加津,提穆尔·艾达贝科夫,阿桑·克尔卡巴科夫,剧情,UNK,哈萨克斯坦,8.0,1
1147,野花,F.A.布拉贝克,Martina Bezousková,Sylvie Kraslová,剧情,爱情,捷克,8.2,1
1149,何时是读书天,绪方明,田中裕子,岸部一德,剧情,爱情,日本,8.2,1
1155,停靠,Darragh Byrne,Stuart Graham,Colin Morgan,剧情,UNK,爱尔兰,8.6,1
1157,阿曼尼亚：欢迎来到德国,Yasemin Samdereli,Vedat Erincin,Lilay Huser,剧情,UNK,德国,8.3,1
1167,死亡的游戏,John Little,李小龙,田俊,动作,UNK,日本,8.5,1
1171,他人之子,让-皮埃尔·达内 ,奥利弗·古尔迈,Morgan Marinne,剧情,UNK,比利时,8.2,1
1172,变种外星人,比尔·普莱姆顿,Amy Allison,Anthony Arcidi,喜剧,科幻,美国,8.0,1
1181,现实之舞,亚历桑德罗·佐杜洛夫斯基,亚历桑德罗·佐杜洛夫斯基,Pamela Flores,传记,UNK,智利,8.2,1
1189,通往自由的通道,罗兰·苏素·里希特,海诺·费尔希,尼科莱·克雷比茨,剧情,动作,德国,8.6,1
1206,死期将至,多罗塔·肯杰尔扎沃斯卡,Danuta Szaflarska,Krzysztof Globisz,剧情,UNK,波兰,8.8,1
1209,风的第一声呼吸,弗兰科·皮亚维奥利,Primo Gaburri,Mariella Fabbris,剧情,UNK,意大利,8.5,1
1220,圣·拉尔夫,Michael McGowan,亚当·布切,UNK,剧情,喜剧,加拿大,8.4,1
1225,梦魇疯人院,杨·史云梅耶,Anna Geislerová,帕沃·里斯卡,恐怖,UNK,捷克,8.1,1
1226,叛逆边缘,约翰·卡尼,基里安·墨菲,翠西亚·维西,剧情,UNK,爱尔兰,8.2,1
1228,亚当的苹果,安诺斯·托马斯·延森,乌尔里奇·汤姆森,麦斯·米科尔森,剧情,喜剧,丹麦,8.3,1
1230,古宅迷踪,汤姆·沃恩,大卫·苏切特,佐伊·沃纳梅克,剧情,悬疑,英国,8.1,1
1233,枪声俱乐部,Steven Silver,瑞恩·菲利普,玛琳·阿克曼,剧情,UNK,加拿大,8.0,1
1234,将爱放逐,安德烈·萨金塞夫,亚历山大·巴鲁耶夫,玛利亚·邦妮薇,剧情,UNK,俄罗斯,8.0,1
1242,那天妈妈来看我,郭春晖,白冰冰,吴慷仁,剧情,同性,台湾,8.3,1
1245,山樱,筱原哲雄,田中丽奈,东山纪之,剧情,UNK,日本,8.1,1
1251,卡米诺,哈维尔·费舍尔,内瑞雅·卡马乔,卡勒梅·艾利亚斯,剧情,UNK,西班牙,8.0,1
1261,布拉格狂想曲,托马斯·沃瑞,波莱克·波利夫卡,伊娃·赫鲁波娃,喜剧,UNK,捷克,8.4,1
1270,天使的孩子,艾伦·帕克,艾米丽·沃森,UNK,剧情,UNK,美国,8.1,1
1272,与春同行,小林政广,仲代达矢,德永绘里,剧情,UNK,日本,8.3,1
1283,无法避免的战争,Prakash Jha ,阿俊·拉姆鲍 阿布依·多尔 Manoj Bajpai,UNK,剧情,UNK,印度,8.6,1
1285,春天的杜鹃,亚历山大·罗戈日金,Anni-Kristiina Juuso,威勒·哈派塞罗,剧情,喜剧,俄罗斯,8.3,1
1290,芳心他属,普皮·阿瓦蒂,尼利·马可利,凡妮莎·因孔特雷拉,剧情,喜剧,意大利,8.2,1
1292,让风带着我起飞,Mohammad-Ali Talebi,هادی علیپور,مجید علیپور,剧情,UNK,伊朗,8.7,1
1302,我是大卫,保罗·费格,Ben Tibber,吉姆·卡维泽,剧情,UNK,美国,8.3,1
1309,完美对垒,朴熙坤,曹承佑,杨东根,运动,UNK,韩国,8.1,1
1314,黑帮大佬和平梦,Rajkumar Hirani,Sanjay Dutt,Vidya Balan,剧情,喜剧,印度,8.1,1
1316,关于伊丽,阿斯哈·法哈蒂,格什菲·法拉哈尼,塔兰涅·阿里多斯蒂,剧情,悬疑,伊朗,8.0,1
1318,三个臭皮匠,James Frawley,Moses Horwitz,Louis Feinberg,剧情,喜剧,美国,8.8,1
1319,航向热带岛屿的冰山,达格·卡利,Kjartan Bjargmundsson,Pétur Einarsson,剧情,UNK,冰岛,8.1,1
1323,跨跃彩虹,安振宇,李政宰,张真英,剧情,爱情,韩国,8.4,1
1326,河狸白毛历险记,菲利普·考尔德隆,Benoît Brière,安德烈·杜索里埃,家庭,冒险,法国,8.7,1
1327,小小的叛国者,Lynn Roth,Ido Port,阿尔弗雷德·莫里纳,剧情,UNK,以色列,8.4,1
1331,寻爱之旅,戴米恩·奥唐纳,麦克·辛,马克·阿蒂,剧情,喜剧,英国,8.4,1
1333,巧舌如父,让-克里斯托夫·罗歇,Eric Métayer,艾丽·赛门,动画,UNK,法国,8.2,1
1337,幸存的生命（理论与实践）,杨·史云梅耶,Václav Helsus,Klára Issová,喜剧,UNK,日本,8.1,1
1344,信徒,Henry Bean,瑞恩·高斯林,泰莉莎·拉塞尔,剧情,UNK,美国,8.1,1
1350,杀戮禁区,迈克尔·卡顿-琼斯,约翰·赫特,休·丹西,剧情,历史,英国,8.2,1
1353,勿忘我,长崎俊一,萨奇·帕克,高桥真悠,剧情,家庭,日本,8.3,1
1355,时光之尘,西奥·安哲罗普洛斯,威廉·达福,布鲁诺·甘茨,剧情,UNK,希腊,8.1,1
1356,失控的校园,Ilmar Raag,Vallo Kirs,Pärt Uusberg,剧情,UNK,爱沙尼亚,8.3,1
1367,其实在天堂,凯·波拉克,迈克尔·恩奎斯特,弗里达·霍尔格伦,剧情,爱情,瑞典,8.1,1
1370,葬礼之后,Maurice Phillips,大卫·苏切特,迈克尔·法斯宾德,剧情,悬疑,英国,8.2,1
1374,最狂野的梦想：征服珠峰,Anthony Geffen,Hugh Dancy,Ralph Fiennes,传记,UNK,美国,8.7,1
1378,血腥星期天,保罗·格林格拉斯,詹姆斯·内斯比特,Gerard Crossan,剧情,历史,爱尔兰,8.1,1
1381,邦邦停不了,Anna van der Heide,埃格伯特·让·魏伯,卡佳·赫尔伯斯,家庭,UNK,荷兰,8.4,1
1387,一样的月光,Patricia Riggen,凯特·德尔·卡斯蒂洛,Jesse Garcia,剧情,UNK,美国,8.1,1
1395,人性,米歇尔·冈瑞,帕特丽夏·阿奎特,瑞斯·伊凡斯,剧情,喜剧,法国,8.2,1
1399,8UPPERS FEATURE MUSIC FILM,中村哲平,村上信五,横山裕,剧情,音乐,日本,9.1,1
1405,秋天,Özcan Alper,Onur Saylak,Cihan Camkerte,剧情,UNK,德国,8.2,1
1406,真爱永存,Aditya Chopra,Amitabh-Bachchan,Shahrukh-Khan,剧情,爱情,印度,8.2,1
1420,加州梦,克里斯蒂安·内梅斯古,阿曼德·阿山特,贾米·埃曼,剧情,喜剧,罗马尼亚,8.1,1
1421,西班牙城堡,Isabelle Doval,安吉拉·摩琳娜   Ángela Molina,安妮·波诺什   Anne Brochet,剧情,喜剧,法国,8.3,1
1423,爱无国界,Yash Chopra,Shahrukh Khan	 .... 	Veer Pratap Singh,Preity Zinta	 .... 	Zaara Hayaat Khan,剧情,爱情,印度,8.3,1
1426,情场世界波,艾特·迪·彭吉云,艾特·迪·彭吉云,Pascale Arbillot,喜剧,爱情,法国,8.1,1
1437,谜之音,Vincent Morisset,Jon Thor Birgisson,Orri P. Dyrason,音乐,UNK,英国,9.1,1
1444,女权天使,Katja von Garnier,希拉里·斯万克,帕特里克·德姆西,剧情,历史,U,8.8,1
1459,我和托马斯,Simon Shore,凯莉·霍威,安德鲁·白内,剧情,UNK,英国,8.2,1
1460,醉马时刻,巴赫曼·戈巴迪,Ayoub Ahmadi,Rojin Younessi,剧情,战争,伊朗,8.3,1
1461,等待戈多,Michael Lindsay-Hogg,Barry McGovern,Johnny Murphy,剧情,UNK,爱尔兰,8.6,1
1462,没有无关的旁观者,罗杰·萨金特,卡尔·巴拉特,皮特·多赫提,传记,UNK,英国,9.1,1
1465,凡尔赛宫：国王的梦想,Thierry Binisti,Samuel Theis,Jerome Pouly from the Comedie Francaise,历史,UNK,法国,8.0,1
1467,旧罪的阴影,约翰·史翠兰,大卫·苏切特,佐伊·沃纳梅克,悬疑,犯罪,英国,8.1,1
1469,伊斯坦布尔的幸福,Abdullah Oguz,Özgü Namal,Talat Bulut,剧情,UNK,土耳其,8.4,1
1470,维拉·德雷克,迈克·李,艾美达·斯丹顿,理查德·格拉翰,剧情,犯罪,法国,8.0,1
1471,吻,Lance Daly,Shane Curry,斯蒂芬·瑞,剧情,UNK,爱尔兰,8.4,1
1473,飞出个未来大电影4：绿色狂想,Peter Avanzino,比利·维斯特,凯特蕾·萨加尔,喜剧,动作,美国,8.0,1
1477,星际5555：异星梦系统秘传,竹之内和久 ,蠢朋克,UNK,动作,科幻,日本,8.4,1
1482,布加勒斯特东12点8分,柯内流·波蓝波宇,Mircea Andreescu,Teodor Corban,剧情,喜剧,罗马尼亚,8.0,1
1489,两周,Steve Stockman,莎莉·菲尔德,本·卓别林,剧情,喜剧,美国,8.1,1
1493,劳拉的星星,Piet De Rycker ,Céline Vogt,Sandro Iannotta,喜剧,动画,保加利亚,8.0,1
1496,美妙共振,Lisa Barros D'Sa ,茱蒂·威泰克,迪兰·莫兰,音乐,传记,英国,8.0,1
1499,小岛,约翰·亚历山大,娜奥米·哈里斯,Hugh Quarshie,剧情,UNK,英国,8.1,1
1501,战火遗孤,Yurek Bogayevicz,Haley Joel Osment,Willem Dafoe,剧情,战争,美国,8.5,1
1509,古巴万岁,Juan Carlos Cremata Malberti ,Malú Tarrau Broche,Jorge Milo,剧情,喜剧,法国,8.2,1
1517,德蕾莎修女,Fabrizio Costa,Olivia Hussey,Sebastiano Somma,剧情,传记,西班牙,8.6,1
1525,亚伯拉罕先生,François Dupeyron,奥马尔·沙里夫,皮埃尔·布朗格,剧情,UNK,法国,8.1,1
1532,天线,Esteban Sapir,Alejandro Urdapilleta,巴莱里·贝尔图切利,剧情,UNK,阿根廷,8.2,1
1534,爱的挽歌,让-吕克·戈达尔,布鲁诺·帕特祖鲁,Cecile Camp,剧情,UNK,法国,8.0,1
1535,佛在耻辱中倒塌,汉娜·玛克玛尔巴夫,Abbas Alijome,Abdolali Hoseinali,剧情,战争,伊朗,8.3,1
1538,飞出个未来大电影2：万背之兽,Peter Avanzino,Frank Welker,凯特蕾·萨加尔,喜剧,动作,美国,8.2,1
1551,我的家人和其他动物,谢雷·福克森,尤金·西蒙,马修·古迪,剧情,喜剧,U,8.4,1
1565,萨拉邦德,英格玛·伯格曼,丽芙·乌曼,厄兰·约瑟夫森,剧情,UNK,瑞典,8.3,1
1566,永远活下去,古斯塔沃·罗恩,罗比·凯,亚历克斯·伊特尔,剧情,家庭,西班牙,8.2,1
1568,生命的重托,Giacomo Battiato,托马斯·布罗迪-桑斯特,乔凡娜·梅索兹殴诺,剧情,惊悚,英国,8.2,1
1579,真情电波,迈克尔·托林,小库珀·古丁,艾德·哈里斯,剧情,运动,美国,8.1,1
1584,给斯大林的礼物,Rustem Abdrashitov,Yekaterina Rednikova,Nurzhuman Ikhtymbayev,剧情,UNK,哈萨克斯坦,8.7,1
1585,人性记录,Brian Farnham,大卫·苏切特,菲利普·杰克森,悬疑,犯罪,英国,8.4,1
1591,在天堂遇见的五个人,Lloyd Kramer,强·沃特,Emy Aneke,剧情,奇幻,美国,8.0,1
1594,巴伦,Majid Majidi,Zahra Bahrami,Hossein Abedini,剧情,爱情,伊朗,8.2,1
1603,蝉时雨,黑土三男,市川染五郎,木村佳乃,剧情,爱情,日本,8.2,1
1618,藏书室女尸之谜,安迪·威尔逊,杰拉尔丁·麦克伊万,塔拉·菲茨杰拉德,悬疑,犯罪,英国,8.2,1
1626,心花路放,宁浩,黄渤,徐峥,喜剧,爱情,中国大陆,7.0,1
1627,后会无期,韩寒,冯绍峰,陈柏霖,剧情,爱情,中国大陆,7.2,1
1628,绣春刀,路阳,张震,刘诗诗,动作,爱情,中国大陆,7.4,1
1629,白日焰火,刁亦男,廖凡,桂纶镁,剧情,悬疑,中国大陆,7.0,1
1630,催眠大师,陈正道,徐峥,莫文蔚,剧情,悬疑,中国大陆,7.6,1
1631,致我们终将逝去的青春,赵薇,杨子姗,赵又廷,剧情,爱情,中国大陆,6.7,0
1632,分手大师,俞白眉 ,邓超,杨幂,喜剧,爱情,中国大陆,5.2,0
1633,归来,张艺谋,陈道明,巩俐,剧情,爱情,中国大陆,7.7,1
1634,同桌的妳,郭帆,周冬雨,林更新,剧情,爱情,中国大陆,5.9,0
1635,推拿,娄烨,秦昊,郭晓冬,剧情,UNK,中国大陆,7.7,1
1636,私人订制,冯小刚,葛优,白百何,喜剧,UNK,中国大陆,5.6,0
1637,全民目击,非行,孙红雷,余男,剧情,悬疑,中国大陆,7.6,1
1638,黄金时代,许鞍华,汤唯,冯绍峰,剧情,爱情,中国大陆,7.0,1
1639,小时代,郭敬明,杨幂,柯震东,剧情,喜剧,中国大陆,4.8,0
1640,厨子戏子痞子,管虎,刘烨,张涵予,喜剧,动作,中国大陆,7.0,1
1641,小时代3：刺金时代,郭敬明,杨幂,柯震东,剧情,喜剧,中国大陆,4.3,0
1642,搜索,陈凯歌,高圆圆,姚晨,剧情,悬疑,中国大陆,7.3,1
1643,十二生肖,成龙,成龙,权相宇,喜剧,动作,中国大陆,6.7,0
1644,被偷走的那五年,黄真真,白百何,张孝全,爱情,UNK,中国大陆,5.7,0
1645,窃听风云3,麦兆辉 ,刘青云,古天乐,动作,悬疑,香港,6.1,0
1646,北京爱情故事,陈思诚,梁家辉,刘嘉玲,爱情,UNK,中国大陆,6.1,0
1647,军中乐园,钮承泽,阮经天,万茜,剧情,爱情,台湾,7.2,1
1648,前任攻略,田羽生,韩庚,姚星彤,喜剧,爱情,中国大陆,6.3,0
1649,扫毒,陈木胜,刘青云,张家辉,剧情,动作,中国大陆,7.2,1
1650,唐山大地震,冯小刚,徐帆,张静初,剧情,家庭,中国大陆,7.4,1
1651,狄仁杰之神都龙王,徐克,赵又廷,冯绍峰,动作,悬疑,中国大陆,6.6,0
1652,天下无贼,冯小刚,刘德华,刘若英,剧情,动作,中国大陆,7.6,1
1653,毒战,杜琪峰,孙红雷,古天乐,剧情,动作,中国大陆,7.1,1
1654,盲探,杜琪峰,刘德华,郑秀文,喜剧,爱情,中国大陆,7.1,1
1655,小时代2：青木时代,郭敬明,杨幂,柯震东,剧情,喜剧,中国大陆,5.0,0
1656,宝贝计划,陈木胜,成龙,许冠文,剧情,喜剧,中国大陆,7.1,1
1657,爱,钮承泽,赵薇,舒淇,剧情,爱情,台湾,7.0,1
