,title,director,actor0,actor1,genre0,genre1,district,rate,rm
59,暴疯语,李光耀,刘青云,黄晓明,悬疑,惊悚,中国大陆,5.9,0
60,美国狙击手,克林特·伊斯特伍德,布莱德利·库珀,西耶娜·米勒,动作,传记,美国,7.4,1
61,味园Universe,山下敦弘,涩谷昴,二阶堂富美,剧情,音乐,日本,7.1,1
62,寄生兽,山崎贵,染谷将太,深津绘里,科幻,恐怖,日本,7.4,1
63,中国之旅,Zoltán Mayer,友兰达·梦露,屈菁菁,剧情,UNK,法国,7.0,1
64,疯狂外星人,蒂姆·约翰逊,吉姆·帕森斯,蕾哈娜,喜剧,科幻,美国,7.3,1
65,控制游戏,Fouad Mikati,裴淳华,拉莫·威利斯,惊悚,UNK,美国,5.4,0
66,超能查派,尼尔·布洛姆坎普,休·杰克曼,西格妮·韦弗,动作,科幻,美国,7.2,1
67,所罗门的伪证前篇：事件,成岛出,藤野涼子,板垣瑞生,惊悚,UNK,日本,6.6,0
68,星际穿越,克里斯托弗·诺兰,马修·麦康纳,安妮·海瑟薇,剧情,科幻,美国,9.1,1
69,天将雄师,李仁港,成龙,约翰·库萨克,动作,战争,中国大陆,6.0,0
70,冲锋车,刘浩良,吴镇宇,任达华,喜剧,犯罪,香港,6.6,0
71,霍比特人3：五军之战,彼得·杰克逊,马丁·弗瑞曼,伊恩·麦克莱恩,动作,奇幻,美国,8.2,1
72,金衣女人,西蒙·柯蒂斯,瑞恩·雷诺兹,海伦·米伦,剧情,传记,美国,7.7,1
73,无人引航,威廉姆·H·梅西,比利·克鲁德普,安东·叶利钦,剧情,音乐,美国,8.2,1
74,侏罗纪世界,科林·特雷沃罗,克里斯·普拉特,布莱丝·达拉斯·霍华德,动作,科幻,美国,7.8,1
75,帕丁顿熊,保罗·金,本·卫肖,妮可·基德曼,喜剧,家庭,英国,7.6,1
76,超能陆战队,唐·霍尔 ,斯科特·安第斯,瑞恩·波特,喜剧,动作,美国,8.6,1
77,赤道,梁乐民 ,张学友,张家辉,剧情,动作,香港,5.9,0
78,有一个地方只有我们知道,徐静蕾,吴亦凡,王丽坤,爱情,UNK,中国大陆,5.0,0
79,男人与鸡,安诺斯·托马斯·延森,麦斯·米科尔森,尼古拉·雷·卡斯,剧情,喜剧,丹麦,7.2,1
80,博物馆奇妙夜3,肖恩·利维,本·斯蒂勒,罗宾·威廉姆斯,喜剧,奇幻,美国,7.0,1
81,44号孩子,丹尼尔·伊斯皮诺萨,汤姆·哈迪,乔尔·金纳曼,剧情,悬疑,美国,6.6,0
82,万物生长,李玉,范冰冰,韩庚,喜剧,爱情,中国大陆,6.0,0
83,0.5毫米,安藤桃子,安藤樱,织本顺吉,剧情,UNK,日本,8.1,1
84,鸭王,区焯文,白健恩,何浩文,喜剧,爱情,香港,4.5,0
85,战狼,吴京,吴京,余男,动作,战争,中国大陆,6.9,0
86,爱你，罗茜,克利斯汀·迪特,莉莉·柯林斯,山姆·克拉弗林,喜剧,爱情,德国,7.3,1
87,江南1970,庾河,李敏镐,金来沅,剧情,动作,韩国,6.2,0
88,第七子：降魔之战,谢尔盖·波德罗夫,杰夫·布里吉斯,本·巴恩斯,奇幻,冒险,英国,5.0,0
89,军犬麦克斯,鲍兹·亚金,罗比·阿美尔,劳伦·格拉汉姆,剧情,冒险,美国,7.1,1
90,一步之遥,姜文,姜文,葛优,喜剧,爱情,中国大陆,6.3,0
91,生活残骸,贾德·阿帕图,艾米·舒默,比尔·哈德尔,喜剧,UNK,美国,6.5,0
92,海月姬,川村泰祐,能年玲奈,菅田将晖,喜剧,UNK,日本,7.0,1
93,雏妓,邱礼涛,任达华,蔡卓妍,剧情,UNK,香港,6.4,0
94,灰姑娘,肯尼思·布拉纳,莉莉·詹姆斯,理查德·麦登,爱情,奇幻,美国,6.8,0
95,横冲直撞好莱坞,蒂姆·肯德尔,赵薇,黄晓明,喜剧,动作,中国大陆,4.6,0
96,涉足荒野,让-马克·瓦雷,瑞茜·威瑟斯彭,盖比·霍夫曼,剧情,传记,美国,7.5,1
98,命中注定,张皓,汤唯,廖凡,喜剧,爱情,中国大陆,5.7,0
99,何以笙箫默,杨文军 ,黄晓明,杨幂,爱情,UNK,中国大陆,3.6,0
100,许三观,河正宇,河正宇,河智苑,剧情,家庭,韩国,7.1,1
101,午夜邂逅,克里斯·埃文斯,克里斯·埃文斯,爱丽丝·伊芙,剧情,喜剧,美国,6.7,0
102,贵族大盗,大卫·凯普,约翰尼·德普,格温妮斯·帕特洛,喜剧,动作,美国,5.2,0
103,智取威虎山,徐克,张涵予,梁家辉,动作,战争,中国大陆,7.7,1
104,木星上行,安迪·沃卓斯基 ,查宁·塔图姆,米拉·库尼斯,动作,科幻,美国,5.4,0
105,我是女王,伊能静,宋慧乔,窦骁,剧情,爱情,中国大陆,4.1,0
106,爱的那点性事,约什·劳森,博亚娜·诺瓦科维奇,约什·劳森,喜剧,爱情,澳大利亚,7.3,1
107,西部慢调,约翰·麦卡伦,本·门德尔森,迈克尔·法斯宾德,动作,西部,英国,7.4,1
108,暴走神探,罗卓瑶,阮经天,周冬雨,喜剧,动作,中国大陆,5.3,0
109,客人,Kim Kwang-tae,柳承龙,李成民,恐怖,奇幻,韩国,6.2,0
110,完美音调2,伊丽莎白·班克斯,安娜·肯德里克,蕾蓓尔·威尔森,喜剧,音乐,美国,6.6,0
111,饥饿游戏3：嘲笑鸟(上),弗朗西斯·劳伦斯,詹妮弗·劳伦斯,乔什·哈切森,动作,科幻,美国,5.7,0
112,二十,李炳宪,金宇彬,李俊昊,剧情,喜剧,韩国,7.0,1
113,失孤,彭三源,刘德华,井柏然,剧情,UNK,中国大陆,6.3,0
114,坚不可摧,安吉丽娜·朱莉,杰克·奥康奈尔,多姆纳尔·格利森,剧情,传记,美国,6.7,0
115,测试,亚历山大·科特,安慧媛,Danila Rassomakhin,剧情,UNK,俄罗斯,8.3,1
117,明星伙伴,道格·艾林,凯文·康诺利,艾德里安·格尼尔,喜剧,UNK,美国,6.2,0
118,钟馗伏魔：雪妖魔灵,鲍德熹 ,陈坤,李冰冰,动作,爱情,中国大陆,4.2,0
119,太平轮(上),吴宇森,章子怡,金城武,剧情,爱情,中国大陆,5.7,0
120,少数意见,金成宰,尹继尚,金玉彬,剧情,UNK,韩国,7.1,1
121,爱情限时恋未尽,维克多·列文,安东·叶利钦,贝纳尼丝·玛尔洛,剧情,喜剧,美国,7.7,1
122,十万个冷笑话,卢恒宇 ,阿杰,皇贞季,喜剧,动画,中国大陆,6.3,0
123,海绵宝宝历险记：海绵出水,Paul Tibbitt,安东尼奥·班德拉斯,Eric Bauza,喜剧,动画,美国,7.2,1
124,狂怒,大卫·阿耶,布拉德·皮特,希亚·拉博夫,剧情,动作,英国,7.7,1
125,长寿商会,姜帝圭,尹汝贞,朴根滢,喜剧,爱情,韩国,7.7,1
126,飓风营救3,奥利维尔·米加顿,连姆·尼森,福里斯特·惠特克,动作,惊悚,法国,6.2,0
127,要听神明的话,三池崇史,福士苍汰,山崎纮菜,惊悚,恐怖,日本,6.4,0
128,缄默的迷宫,Giulio Ricciarelli,亚历山大·斐林,约翰尼斯·科斯奇,剧情,UNK,德国,7.8,1
129,通灵之六世古宅,彭发,徐娇,张兆辉,惊悚,恐怖,中国大陆,4.1,0
130,北京纽约,李晓雨,林志玲,刘烨,剧情,爱情,中国大陆,4.0,0
131,我们假期做了什么,安迪·汉密尔顿 ,大卫·田纳特,裴淳华,剧情,喜剧,英国,7.8,1
132,伸冤人,安东尼·福奎阿,丹泽尔·华盛顿,马尔顿·索克斯,动作,惊悚,美国,7.3,1
133,焦点,格伦·费卡拉 ,玛格特·罗比,威尔·史密斯,剧情,喜剧,美国,6.6,0
134,新女友,弗朗索瓦·欧容,罗曼·杜里斯,阿奈丝·德穆斯捷,剧情,悬疑,法国,7.5,1
135,鬼牌游戏,入江悠,龟梨和也,深田恭子,动作,悬疑,日本,5.7,0
136,大眼睛,蒂姆·波顿,艾米·亚当斯,克里斯托弗·沃尔兹,剧情,传记,美国,6.8,0
137,小混乱,艾伦·瑞克曼,凯特·温丝莱特,海伦·麦克洛瑞,剧情,喜剧,英国,6.2,0
138,麦兜我和我妈妈,谢立文 ,黄磊,吴君如,喜剧,动画,香港,8.2,1
139,珍妮的婚礼,Mary Agnes Donoghue,凯瑟琳·海格尔,汤姆·威尔金森,喜剧,爱情,美国,6.7,0
140,咱们结婚吧,刘江,高圆圆,姜武,喜剧,爱情,中国大陆,6.0,0
141,冲上云霄,叶伟信 ,古天乐,郑秀文,剧情,爱情,香港,4.4,0
142,匆匆那年,张一白,彭于晏,倪妮,爱情,UNK,中国大陆,5.3,0
143,塞尔玛,艾娃·德约列,大卫·奥伊罗,卡门·艾乔戈,剧情,传记,英国,7.1,1
144,法老与众神,雷德利·斯科特,克里斯蒂安·贝尔,乔尔·埃哲顿,剧情,动作,英国,6.4,0
145,魔法黑森林,罗伯·马歇尔,安娜·肯德里克,克里斯·派恩,音乐,奇幻,美国,5.7,0
146,1944,Elmo Nüganen,Märt Pius,Maiken Schmidt,剧情,战争,爱沙尼亚,8.0,1
147,烈性摔跤,金豪俊,崔成国,宋恩彩,喜剧,UNK,韩国,4.3,0
148,再见我们的十年,孙浩,郭家铭,刘芸,喜剧,爱情,中国大陆,4.3,0
150,微爱之渐入佳境,顾长卫,杨颖,陈赫,喜剧,爱情,中国大陆,4.8,0
151,真幌站前狂想曲,大森立嗣,瑛太,松田龙平,剧情,UNK,日本,7.5,1
152,青春之旅 真人版,三木孝浩,本田翼,东出昌大,爱情,UNK,日本,6.4,0
153,潜伏3,雷·沃纳尔,林·沙烨,德蒙特·莫罗尼,恐怖,UNK,美国,5.9,0
154,布拉芙夫人,任弼星,郑雨盛,李絮,爱情,惊悚,韩国,5.7,0
155,花宵道中,丰岛圭介,安达祐实,渊上泰史,剧情,爱情,日本,5.7,0
156,移动迷宫,韦斯·鲍尔,迪伦·欧布莱恩,阿梅尔·艾米恩,动作,科幻,美国,6.7,0
157,暗夜逐仇,佐米·希尔拉,连姆·尼森,乔尔·金纳曼,剧情,动作,美国,6.7,0
158,生命之书,Jorge R. Gutierrez,迭戈·鲁纳,佐伊·索尔达娜,喜剧,爱情,美国,7.6,1
159,近距离恋爱,熊泽尚人,山下智久,小松菜奈,爱情,UNK,日本,5.8,0
160,真实故事,鲁伯特·古尔德,詹姆斯·弗兰科,乔纳·希尔,剧情,悬疑,美国,6.0,0
161,纸之月,吉田大八,宫泽理惠,池松壮亮,剧情,犯罪,日本,7.2,1
162,性本恶,保罗·托马斯·安德森,杰昆·菲尼克斯,乔什·布洛林,剧情,喜剧,美国,6.7,0
163,有种你爱我,李欣蔓,江一燕,郑恺,喜剧,爱情,中国大陆,4.8,0
164,浪客剑心：传说的完结篇,大友启史,佐藤健,武井咲,剧情,动作,日本,7.7,1
165,玩命警车,乔恩·沃茨,凯文·贝肯,谢伊·惠格姆,惊悚,UNK,美国,6.3,0
166,丹尼·科林斯,丹·福格尔曼,阿尔·帕西诺,安妮特·贝宁,剧情,喜剧,美国,7.6,1
167,涉外大饭店2,约翰·麦登,比尔·奈伊,玛吉·史密斯,剧情,喜剧,美国,6.7,0
168,高手们,金洪宣,金宇彬,李玹雨,动作,犯罪,韩国,6.2,0
169,不死鸟,克利斯蒂安·佩措尔德,尼娜·霍斯,隆纳德·泽荷菲德,剧情,历史,德国,7.1,1
170,马达加斯加的企鹅,埃里克·达尼尔 ,汤姆·麦格拉思,克里斯·米勒,喜剧,动画,美国,7.4,1
171,乐高DC超级英雄：正义联盟之末日军团的进攻,Rick Morales,Mark Hamill,Troy Baker,动作,科幻,美国,8.0,1
172,鞋匠人生,托马斯·麦卡锡,亚当·桑德勒,史蒂夫·布西密,剧情,喜剧,美国,6.4,0
173,人体蜈蚣3,汤姆·希克斯,迪特尔·莱瑟,埃里克·罗伯茨,恐怖,UNK,美国,3.8,0
174,朝我心脏开枪,文在容,吕珍九,李民基,剧情,UNK,韩国,7.3,1
175,12金鸭,邹凯光,吴君如,古天乐,喜剧,UNK,香港,5.2,0
176,哥本哈根,Mark Raso,格辛·安东尼,塔姆金·莫钦特,剧情,爱情,加拿大,7.2,1
177,年鉴计划,Dean Israelite,约翰尼·韦斯顿,索菲亚·布莱克-德埃利亚,科幻,惊悚,美国,6.5,0
178,女孩闺房,乔恩·克劳兹 ,艾丽·柯布琳,查斯蒂·巴勒斯特罗斯,惊悚,恐怖,加拿大,5.8,0
179,寄生兽：完结篇,山崎贵,染谷将太,深津绘里,科幻,恐怖,日本,7.0,1
180,撒娇女人最好命,彭浩翔,周迅,黄晓明,喜剧,爱情,中国大陆,5.9,0
181,娚的一生,广木隆一,荣仓奈奈,丰川悦司,剧情,UNK,日本,6.5,0
182,疾速追杀,大卫·里奇 ,基努·里维斯,阿德琳妮·帕里奇,动作,惊悚,美国,6.8,0
183,阁楼,艾瑞克·范·洛依,詹姆斯·麦斯登,温特沃斯·米勒,惊悚,UNK,美国,6.6,0
184,正义联盟：神魔之战,Sam Liu,Jason Isaacs,Michael C. Hall,动作,科幻,美国,7.7,1
185,白幽灵传奇之绝命逃亡,尼克·鲍威尔,海登·克里斯滕森,尼古拉斯·凯奇,动作,古装,中国大陆,3.9,0
186,女狙击手,Sergeiy Mokritskiy,Yuliya Peresild,Evgeniy Tsyganov,剧情,爱情,俄罗斯,7.2,1
187,封门诡影,王孟圆,张铎,刘滢,悬疑,惊悚,中国大陆,4.7,0
188,恋爱的味道,金亚伦,吴智昊,姜艺媛,喜剧,爱情,韩国,5.8,0
189,全力扣杀,郭子健 ,何超仪,郑伊健,喜剧,动作,香港,4.9,0
190,死亡录像4：启示录,豪梅·巴拿盖鲁,曼奴拉·沃拉斯科,哈维尔·博特,剧情,惊悚,西班牙,5.4,0
191,沼泽地,阿尔伯特·罗德里格斯,劳尔·阿雷瓦罗,哈维尔·古铁雷斯,剧情,悬疑,西班牙,7.4,1
192,深夜前的五分钟,行定勋,刘诗诗,三浦春马,爱情,悬疑,中国大陆,5.8,0
193,极秘搜查,郭暻泽,金允石,柳海真,剧情,犯罪,韩国,6.8,0
194,隐秘的诱惑,尹宰久,林秀晶,柳演锡,爱情,犯罪,韩国,5.7,0
195,魁拔Ⅲ战神崛起,王川 ,刘婧荦,姚姝,动作,动画,中国大陆,8.0,1
196,偷狗的完美方法,金成浩,金惠子,李来,剧情,家庭,韩国,7.3,1
197,别惹德州,安妮·弗莱彻,瑞茜·威瑟斯彭,索菲娅·维加拉,喜剧,动作,美国,5.4,0
198,一万年以后,易立,珠玛,亚拉亚姆,动作,动画,中国大陆,5.1,0
199,一路惊喜,金依萌 ,郭采洁,萧敬腾,喜剧,爱情,中国大陆,5.1,0
200,我的早更女友,郭在容,周迅,佟大为,喜剧,爱情,中国大陆,5.5,0
201,露水红颜,高希希,刘亦菲,郑智薰,爱情,UNK,中国大陆,4.8,0
202,京城学校：消失的少女们,李海暎,朴宝英,严志媛,剧情,悬疑,韩国,5.3,0
203,福福庄的阿福,藤田容介,大岛美幸,水川麻美,剧情,喜剧,日本,7.5,1
204,年轻母亲3：我年纪如何,Kim Il-jong (김일종),Myeong Kye-nam (명계남),Chae Min-seo (채민서),情色,UNK,韩国,4.2,0
205,恋爱排班表,丁乃筝,许晴,车晓,喜剧,爱情,中国大陆,4.4,0
206,定制伴郎,杰里米·加尔利,凯莉·库柯-斯威汀,阿兰·里奇森,喜剧,UNK,美国,7.1,1
207,男人不可以穷,钟澍佳,黄宗泽,陈伟霆,剧情,喜剧,香港,6.0,0
